Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,32,18,14,.563,4.06,4.16,,8,8,,13,2,,3,11,,2241,2170,,1285,764,1702,.449,224,703,.319,418,621,.673,325,1053,458,180,100,412,530
2,Akron NCAA,33,26,7,.788,8.12,0.18,,14,2,,15,1,,7,4,,2369,2071,,1340,723,1831,.395,176,544,.324,449,629,.714,358,1060,358,229,96,449,621
3,Alabama,36,23,13,.639,9.82,5.96,,12,6,,16,4,,4,8,,2268,2102,,1455,750,1853,.405,184,597,.308,418,602,.694,393,1202,361,202,135,521,592
4,Alabama A&M,31,11,20,.355,-18.41,-9.82,,6,12,,7,6,,3,12,,1957,2160,,1255,783,1753,.447,163,466,.350,431,653,.660,337,1124,390,228,106,384,558
5,Alabama State,32,10,22,.313,-17.90,-9.03,,8,10,,7,5,,3,14,,1979,2231,,1290,780,1808,.431,215,619,.347,456,685,.666,392,1170,428,254,103,428,530
6,Albany (NY) NCAA,35,24,11,.686,-0.86,-4.51,,9,7,,11,4,,11,5,,2251,2123,,1405,787,1848,.426,212,640,.331,337,514,.656,324,1069,367,212,119,438,666
7,Alcorn State,34,10,24,.294,-14.27,-7.11,,8,10,,5,8,,4,14,,2055,2248,,1366,740,1876,.394,189,609,.310,579,878,.659,421,1236,367,231,120,447,604
8,American,30,10,20,.333,-8.55,-2.52,,5,9,,7,6,,3,14,,1735,1916,,1215,695,1576,.441,228,555,.411,298,439,.679,260,937,416,195,111,281,469
9,Appalachian State,31,15,16,.484,-7.88,-5.74,,10,8,,10,4,,4,11,,2211,2221,,1270,814,1781,.457,172,523,.329,421,608,.692,322,1084,408,229,105,423,580
10,Arizona NCAA,35,27,8,.771,17.31,7.48,,12,6,,14,2,,7,4,,2570,2226,,1405,784,1909,.411,211,589,.358,447,629,.711,321,1051,386,215,112,465,624
11,Arizona State,35,22,13,.629,8.82,4.57,,9,9,,16,4,,4,7,,2512,2363,,1425,861,2098,.410,227,673,.337,414,559,.741,396,1251,449,241,116,434,669
12,Arkansas,32,19,13,.594,9.83,4.99,,10,8,,17,1,,1,9,,2358,2203,,1290,747,1726,.433,203,566,.359,506,766,.661,370,1201,385,168,125,561,587
13,Arkansas State,31,19,12,.613,0.79,-4.34,,12,8,,13,2,,5,9,,2127,1944,,1275,687,1666,.412,171,522,.328,399,587,.680,328,1091,326,194,92,494,619
14,Arkansas-Pine Bluff,30,16,14,.533,-12.21,-8.28,,15,3,,9,0,,6,12,,1880,1998,,1206,676,1672,.404,216,681,.317,430,630,.683,375,1138,442,217,97,487,514
15,Army,31,16,15,.516,-1.48,-4.51,,8,6,,9,4,,6,10,,2245,2112,,1253,730,1749,.417,216,615,.351,436,641,.680,332,1040,398,211,107,400,580
16,Auburn,32,9,23,.281,0.23,4.20,,3,15,,7,10,,1,9,,2074,2201,,1305,738,1717,.430,230,666,.345,495,738,.671,327,1126,431,211,117,430,588
17,Austin Peay,31,8,23,.258,-12.31,-4.28,,4,12,,5,8,,2,12,,2218,2371,,1265,880,1928,.456,216,624,.346,395,549,.719,386,1120,493,269,94,404,597
18,Ball State,30,15,15,.500,-6.70,-3.14,,8,8,,8,8,,7,6,,1957,2041,,1200,716,1604,.446,197,565,.349,412,581,.709,292,951,421,222,87,388,607
19,Baylor,37,23,14,.622,15.07,7.12,,9,9,,15,5,,4,7,,2811,2456,,1489,884,2176,.406,201,644,.312,487,706,.690,448,1297,469,234,120,482,690
20,Belmont NCAA,33,26,7,.788,10.41,-0.92,,14,2,,13,0,,9,4,,2533,2129,,1325,725,1748,.415,218,650,.335,461,651,.708,384,1100,396,213,132,572,591
21,Bethune-Cookman,34,14,20,.412,-9.51,-6.41,,7,9,,9,4,,2,14,,2283,2318,,1370,788,1736,.454,182,527,.345,560,824,.680,347,1226,450,202,123,521,657
22,Binghamton,30,3,27,.100,-18.51,-3.68,,1,15,,2,12,,1,14,,1676,2081,,1200,746,1709,.437,248,694,.357,341,539,.633,328,1132,454,235,63,342,498
23,Boise State NCAA,32,21,11,.656,9.38,5.21,,9,7,,14,1,,5,8,,2343,2095,,1285,709,1623,.437,211,624,.338,466,660,.706,240,944,401,185,93,430,557
24,Boston College,33,16,17,.485,6.11,7.04,,7,11,,12,6,,3,7,,2215,2246,,1325,826,1833,.451,222,592,.375,372,533,.698,331,1072,402,188,93,379,610
25,Boston University,30,17,13,.567,-0.58,-3.92,,11,5,,9,3,,7,9,,2035,1935,,1210,689,1627,.423,165,530,.311,392,540,.726,322,1048,345,177,93,425,449
26,Bowling Green State,32,13,19,.406,-3.32,-1.75,,7,9,,11,5,,1,12,,2010,2033,,1300,729,1711,.426,182,533,.341,393,573,.686,334,1107,390,236,95,421,485
27,Bradley,35,18,17,.514,1.25,1.96,,7,11,,14,4,,4,10,,2371,2396,,1410,831,1872,.444,246,695,.354,488,661,.738,363,1216,475,204,117,507,581
28,Brigham Young,36,24,12,.667,10.63,3.72,,10,6,,15,3,,7,5,,2777,2502,,1440,872,2072,.421,242,730,.332,516,764,.675,366,1256,505,224,125,493,671
29,Brown,28,13,15,.464,-6.32,-3.02,,7,7,,8,5,,5,10,,1748,1800,,1145,636,1503,.423,194,518,.375,334,496,.673,255,930,349,211,81,338,456
30,Bryant,31,19,12,.613,-2.07,-4.71,,12,6,,11,5,,8,7,,2294,2212,,1245,797,1777,.449,246,698,.352,372,537,.693,319,1006,442,210,121,368,567
31,Bucknell NCAA,34,28,6,.824,6.96,-1.95,,12,2,,14,1,,12,4,,2277,1966,,1360,703,1864,.377,177,576,.307,383,543,.705,300,1042,344,153,79,307,593
32,Buffalo,34,14,20,.412,-1.94,-0.34,,7,9,,9,6,,4,10,,2275,2287,,1370,796,1896,.420,199,595,.334,496,692,.717,385,1081,416,252,109,388,614
33,Butler NCAA,36,27,9,.750,11.01,6.09,,11,5,,14,2,,7,4,,2495,2299,,1445,807,1938,.416,201,601,.334,484,688,.703,322,1057,397,235,113,406,657
34,Cal Poly,32,18,14,.563,-0.77,-0.94,,12,6,,13,1,,4,12,,2074,2020,,1290,715,1552,.461,192,535,.359,398,571,.697,261,979,421,126,113,381,528
35,Cal State Bakersfield,30,14,16,.467,-6.49,-2.22,,,,,9,4,,3,11,,2041,2070,,1220,688,1525,.451,178,527,.338,516,743,.694,278,1017,385,185,103,462,518
36,Cal State Fullerton,32,14,18,.438,-3.27,-3.33,,6,12,,6,7,,6,10,,2451,2381,,1280,866,1816,.477,204,581,.351,445,644,.691,390,1156,505,182,96,513,577
37,Cal State Northridge,31,14,17,.452,-4.18,-2.22,,5,13,,6,7,,5,10,,2333,2309,,1240,809,1727,.468,230,622,.370,461,662,.696,316,1053,457,210,119,490,577
38,California NCAA,33,21,12,.636,10.59,7.71,,12,6,,11,5,,6,5,,2218,2123,,1325,753,1915,.393,189,562,.336,428,622,.688,384,1133,385,196,103,370,555
39,Campbell,33,13,20,.394,-10.23,-5.53,,7,9,,8,8,,4,9,,2284,2395,,1350,852,1882,.453,202,609,.332,489,711,.688,408,1186,483,238,109,469,578
40,Canisius,34,20,14,.588,2.38,-0.98,,11,7,,12,4,,8,9,,2499,2385,,1370,853,1928,.442,236,703,.336,443,624,.710,388,1136,508,226,114,454,619
41,Central Arkansas,30,13,17,.433,-10.89,-6.14,,7,11,,8,7,,5,8,,2294,2359,,1230,845,1857,.455,183,505,.362,486,749,.649,420,1235,475,222,118,447,516
42,Central Connecticut State,30,13,17,.433,-8.23,-4.03,,9,9,,6,6,,7,10,,2186,2312,,1220,849,1877,.452,242,661,.366,372,550,.676,396,1221,474,174,91,408,518
43,Central Florida,31,20,11,.645,3.46,0.98,,9,7,,14,5,,5,6,,2194,2079,,1250,785,1840,.427,190,605,.314,319,467,.683,369,1061,442,238,93,394,571
44,Central Michigan,31,11,20,.355,-6.15,-1.22,,4,12,,6,6,,2,13,,2092,2226,,1250,806,1688,.477,226,601,.376,388,572,.678,326,1074,466,186,118,410,554
45,Charleston Southern,32,19,13,.594,-1.92,-5.48,,12,4,,11,3,,6,9,,2361,2144,,1290,767,1842,.416,229,673,.340,381,536,.711,334,1127,384,191,123,439,525
46,Charlotte,33,21,12,.636,2.72,2.78,,8,8,,12,3,,5,7,,2229,2231,,1330,751,1835,.409,221,664,.333,508,721,.705,371,1104,383,248,130,458,673
47,Chattanooga,32,13,19,.406,-10.43,-4.93,,8,10,,8,9,,4,9,,2218,2318,,1290,810,1801,.450,291,782,.372,407,583,.698,299,1069,534,240,117,434,635
48,Chicago State,33,11,22,.333,-11.79,-4.92,,3,5,,8,5,,2,16,,2151,2276,,1345,758,1714,.442,208,577,.360,552,789,.700,354,1205,429,229,107,552,495
49,Cincinnati NCAA,34,22,12,.647,14.47,6.94,,9,9,,13,5,,4,5,,2262,2006,,1375,716,1851,.387,171,562,.304,403,606,.665,367,1139,385,196,108,452,616
50,Clemson,31,13,18,.419,5.85,4.46,,5,13,,8,7,,3,9,,1907,1864,,1240,669,1613,.415,171,492,.348,355,531,.669,328,1030,354,170,87,394,495
51,Cleveland State,32,14,18,.438,-7.33,-0.16,,5,11,,9,5,,3,13,,2051,2226,,1285,752,1629,.462,196,550,.356,526,706,.745,320,1049,470,211,117,459,511
52,Coastal Carolina,29,14,15,.483,-5.56,-5.18,,9,7,,12,4,,2,11,,1943,1840,,1165,616,1494,.412,214,626,.342,394,569,.692,300,920,340,177,92,446,538
53,Colgate,32,11,21,.344,-8.72,-2.57,,5,9,,7,5,,3,16,,2033,2230,,1284,791,1839,.430,225,633,.355,423,606,.698,310,1127,426,207,92,324,497
54,College of Charleston,35,24,11,.686,0.20,-3.83,,14,4,,10,7,,11,2,,2297,2176,,1400,812,1992,.408,175,581,.301,377,524,.719,348,1111,344,249,95,345,599
55,Colorado NCAA,33,21,12,.636,11.91,7.91,,10,8,,12,3,,5,7,,2230,2098,,1340,769,1918,.401,224,700,.320,336,485,.693,371,1119,360,223,129,426,592
56,Colorado State NCAA,35,26,9,.743,13.60,5.84,,11,5,,16,1,,6,6,,2553,2229,,1405,767,1852,.414,233,687,.339,462,674,.685,281,984,336,181,114,380,727
57,Columbia,28,12,16,.429,-3.24,-3.47,,4,10,,6,7,,5,9,,1746,1694,,1120,587,1349,.435,144,391,.368,376,534,.704,226,850,299,136,103,348,469
58,Connecticut,30,20,10,.667,11.89,7.42,,10,8,,13,3,,4,5,,2096,1962,,1245,708,1753,.404,171,543,.315,375,543,.691,403,1097,361,201,110,406,531
59,Coppin State,32,8,24,.250,-12.64,-4.19,,5,11,,4,7,,4,15,,2035,2277,,1300,813,1827,.445,197,671,.294,454,686,.662,437,1335,471,236,142,528,588
60,Cornell,31,13,18,.419,-7.25,-2.35,,5,9,,4,10,,7,8,,2040,2168,,1240,752,1636,.460,233,594,.392,431,599,.720,267,1041,442,200,126,431,480
61,Creighton NCAA,36,28,8,.778,16.43,5.15,,13,5,,15,2,,7,5,,2680,2274,,1440,845,2074,.407,215,689,.312,369,542,.681,359,1099,432,238,89,377,644
62,Dartmouth,28,9,19,.321,-9.20,-3.16,,5,9,,6,7,,3,12,,1719,1844,,1125,622,1408,.442,166,470,.353,434,584,.743,271,938,336,183,110,384,491
63,Davidson NCAA,34,26,8,.765,7.30,-3.43,,17,1,,12,1,,9,4,,2490,2110,,1365,739,1805,.409,155,477,.325,477,665,.717,328,1078,303,187,98,414,646
64,Dayton,31,17,14,.548,9.37,4.28,,7,9,,13,4,,2,8,,2225,2067,,1250,719,1655,.434,192,544,.353,437,620,.705,314,943,431,183,122,436,591
65,Delaware,33,19,14,.576,-0.76,-0.79,,13,5,,9,4,,8,7,,2276,2275,,1340,811,1972,.411,211,614,.344,442,650,.680,406,1177,417,229,103,355,640
66,Delaware State,33,15,18,.455,-11.18,-5.89,,8,8,,8,3,,5,12,,1997,2094,,1345,771,1772,.435,166,509,.326,386,568,.680,400,1142,442,226,108,454,538
67,Denver,32,22,10,.688,9.18,0.24,,16,2,,14,2,,8,7,,2076,1790,,1285,623,1441,.432,117,353,.331,427,591,.723,312,994,276,154,75,503,473
68,DePaul,32,11,21,.344,1.71,5.61,,2,16,,7,10,,4,8,,2284,2409,,1295,881,1879,.469,175,479,.365,472,681,.693,395,1220,469,260,146,498,553
69,Detroit Mercy,33,20,13,.606,6.72,1.62,,12,4,,13,2,,7,10,,2568,2340,,1320,833,1793,.465,225,605,.372,449,632,.710,321,1111,431,173,125,541,576
70,Drake,32,15,17,.469,3.42,5.13,,7,11,,9,6,,4,7,,2296,2319,,1295,791,1772,.446,221,630,.351,516,686,.752,305,1096,446,244,104,417,588
71,Drexel,31,13,18,.419,-1.06,-0.96,,9,9,,5,9,,7,6,,1953,1956,,1265,659,1519,.434,161,471,.342,477,660,.723,248,944,317,177,106,365,523
72,Duke NCAA,36,30,6,.833,21.46,9.57,,14,4,,16,0,,5,4,,2778,2350,,1440,852,2049,.416,160,551,.290,486,671,.724,415,1249,341,179,110,502,703
73,Duquesne,30,8,22,.267,-4.52,3.51,,1,15,,6,9,,2,12,,2028,2269,,1210,815,1813,.450,237,625,.379,402,595,.676,362,1139,479,216,116,364,519
