Coach,School,Conference,Unnamed: 3,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,Unnamed: 10,Since,W.1,L.1,W-L%.1,NCAA,S16,FF,Chmp,Unnamed: 19,W.2,L.2,W-L%.2,NCAA.1,S16.1,FF.1,Chmp.1
Bill Carmody,Northwestern,Big Ten,,13,19,0.406,,,,,2000-01,192,210,0.478,,,,,,284,235,0.547,2.0,,,
David Carter,Nevada,MWC,,12,19,0.387,,,,,2009-10,74,58,0.561,,,,,,74,58,0.561,,,,
Tim Carter,South Carolina State,MEAC,,4,17,0.19,,,,,2007-08,67,113,0.372,,,,,,227,265,0.461,2.0,,,
Mo Cassara,Hofstra,CAA,,7,25,0.219,,,,,2010-11,38,59,0.392,,,,,,38,59,0.392,,,,
Patrick Chambers,Penn State,Big Ten,,10,21,0.323,,,,,2011-12,22,41,0.349,,,,,,64,69,0.481,1.0,,,
Scott Cherry,High Point,Big South,,17,14,0.548,,,,,2009-10,57,66,0.463,,,,,,57,66,0.463,,,,
Jamion Christian,Mount St. Mary's,NEC,,18,14,0.562,,,,,2012-13,18,14,0.562,,,,,,18,14,0.562,,,,
Jim Christian,Ohio,MAC,,24,10,0.706,,,,,2012-13,24,10,0.706,,,,,,217,142,0.604,2.0,,,
Tim Cluess,Iona,MAAC,,20,14,0.588,,,Lost Second Round,,2010-11,70,34,0.673,2.0,,,,,70,34,0.673,2.0,,,
Bill Coen,Northeastern,CAA,,20,13,0.606,,,,,2006-07,111,112,0.498,,,,,,111,112,0.498,,,,
Ed Conroy,Tulane,CUSA,,20,15,0.571,,,,,2010-11,48,48,0.5,,,,,,97,124,0.439,,,,
Ed Cooley,Providence,Big East,,19,15,0.559,,,,,2011-12,34,32,0.515,,,,,,126,101,0.555,,,,
John Cooper,Miami (OH),MAC,,9,22,0.29,,,,,2012-13,9,22,0.29,,,,,,52,74,0.413,,,,
Paul Cormier,Dartmouth,Ivy,,9,19,0.321,,,,,1984-85,106,162,0.396,,,,,,192,273,0.413,1.0,,,
Jim Corrigan,Old Dominion,CAA,,3,5,0.375,,,,,2012-13,3,5,0.375,,,,,,3,5,0.375,,,,
Ron Cottrell,Houston Christian,GWC,,14,17,0.452,,,,,2008-09,46,109,0.297,,,,,,46,109,0.297,,,,
Bill Courtney,Cornell,Ivy,,13,18,0.419,,,,,2010-11,35,52,0.402,,,,,,35,52,0.402,,,,
Gravelle Craig,Bethune-Cookman,MEAC,,14,20,0.412,,,,,2011-12,32,37,0.464,,,,,,32,37,0.464,,,,
Tom Crean,Indiana,Big Ten,,29,7,0.806,1.0,4.0,Lost Regional Semifinal,,2008-09,84,82,0.506,2.0,2.0,,,,274,178,0.606,7.0,3.0,1.0,
Jim Crews,Saint Louis,A-10,,28,7,0.8,,13.0,Lost Third Round,,2012-13,28,7,0.8,1.0,,,,,381,356,0.517,5.0,,,
Mick Cronin,Cincinnati,Big East,,22,12,0.647,24.0,,Lost Second Round,,2006-07,135,100,0.574,3.0,1.0,,,,204,124,0.622,5.0,1.0,,
Scott Cross,UT Arlington,WAC,,19,14,0.576,,,,,2006-07,122,96,0.56,1.0,,,,,122,96,0.56,1.0,,,
Keith Dambrot,Akron,MAC,,26,7,0.788,,,Lost Second Round,,2004-05,210,94,0.691,3.0,,,,,230,128,0.642,3.0,,,
Doug Davalos,Texas State,WAC,,12,22,0.353,,,,,2006-07,92,123,0.428,,,,,,92,123,0.428,,,,
Keno Davis,Central Michigan,MAC,,11,20,0.355,,,,,2012-13,11,20,0.355,,,,,,85,75,0.531,1.0,,,
Kermit Davis Jr,Middle Tennessee,Sun Belt,,28,6,0.824,,,Lost First Round,,2002-03,208,139,0.599,1.0,,,,,279,189,0.596,3.0,,,
Mike Davis,Texas Southern,SWAC,,17,14,0.548,,,,,2012-13,17,14,0.548,,,,,,254,166,0.605,5.0,1.0,1.0,
Johnny Dawkins Jr,Stanford,Pac-12,,19,15,0.559,,,,,2008-09,94,74,0.56,,,,,,94,74,0.56,,,,
Ed DeChellis,Navy,Patriot,,8,23,0.258,,,,,2011-12,11,49,0.183,,,,,,230,280,0.451,2.0,,,
Tommy Dempsey,Binghamton,AEC,,3,27,0.1,,,,,2012-13,3,27,0.1,,,,,,122,132,0.48,,,,
Howie Dickenman,Central Connecticut State,NEC,,13,17,0.433,,,,,1996-97,262,241,0.521,3.0,,,,,262,241,0.521,3.0,,,
James Dickey,Houston,CUSA,,20,13,0.606,,,,,2010-11,47,46,0.505,,,,,,213,170,0.556,2.0,1.0,,
Tracy Dildy,Chicago State,GWC,,11,22,0.333,,,,,2010-11,21,74,0.221,,,,,,21,74,0.221,,,,
Jamie Dixon,Pittsburgh,Big East,,24,9,0.727,,20.0,Lost Second Round,,2003-04,262,86,0.753,9.0,3.0,,,,262,86,0.753,9.0,3.0,,
Cameron Dollar,Seattle,WAC,,8,22,0.267,,,,,2009-10,48,71,0.403,,,,,,48,71,0.403,,,,
Steve Donahue,Boston College,ACC,,16,17,0.485,,,,,2010-11,46,52,0.469,,,,,,192,190,0.503,3.0,1.0,,
Billy Donlon,Wright State,Horizon,,23,13,0.639,,,,,2010-11,55,46,0.545,,,,,,55,46,0.545,,,,
Billy Donovan,Florida,SEC,,29,8,0.784,10.0,14.0,Lost Regional Final,,1996-97,415,166,0.714,13.0,7.0,3.0,2.0,,450,186,0.708,13.0,7.0,3.0,2.0
Bryce Drew,Valparaiso,Horizon,,26,8,0.765,,,Lost Second Round,,2011-12,48,20,0.706,1.0,,,,,48,20,0.706,1.0,,,
Scott Drew,Baylor,Big 12,,23,14,0.622,19.0,,,,2003-04,180,138,0.566,3.0,2.0,,,,200,149,0.573,3.0,2.0,,
Chuck Driesell,The Citadel,Southern,,8,22,0.267,,,,,2010-11,24,68,0.261,,,,,,24,68,0.261,,,,
Matthew Driscoll,North Florida,A-Sun,,13,19,0.406,,,,,2009-10,57,72,0.442,,,,,,57,72,0.442,,,,
John Dunne,Saint Peter's,MAAC,,9,21,0.3,,,,,2006-07,72,143,0.335,1.0,,,,,72,143,0.335,1.0,,,
Fran Dunphy,Temple,A-10,,24,10,0.706,,,Lost Third Round,,2006-07,158,75,0.678,6.0,,,,,468,238,0.663,15.0,,,
Cliff Ellis,Coastal Carolina,Big South,,14,15,0.483,,,,,2007-08,113,75,0.601,,,,,,649,413,0.611,8.0,3.0,,
Andy Enfield,Florida Gulf Coast,A-Sun,,26,11,0.703,,,Lost Regional Semifinal,,2011-12,41,28,0.594,1.0,1.0,,,,41,28,0.594,1.0,1.0,,
Jim Engles,NJIT,GWC,,16,13,0.552,,,,,2008-09,57,96,0.373,,,,,,57,96,0.373,,,,
Larry Eustachy,Colorado State,MWC,,26,9,0.743,,,Lost Third Round,,2012-13,26,9,0.743,1.0,,,,,428,267,0.616,5.0,1.0,,
Anthony Evans,Norfolk State,MEAC,,21,12,0.636,,,,,2007-08,99,94,0.513,1.0,,,,,99,94,0.513,1.0,,,
Bill Evans,Idaho State,Big Sky,,6,24,0.2,,,,,2012-13,6,24,0.2,,,,,,214,247,0.464,1.0,,,
Jim Ferry,Duquesne,A-10,,8,22,0.267,,,,,2012-13,8,22,0.267,,,,,,158,171,0.48,2.0,,,
Mark Few,Gonzaga,WCC,,32,3,0.914,21.0,1.0,Lost Third Round,,1999-00,374,93,0.801,14.0,4.0,,,,374,93,0.801,14.0,4.0,,
Steve Fisher *,San Diego State,MWC,,23,11,0.676,20.0,,Lost Third Round,,1999-00,281,171,0.622,6.0,1.0,,,,466,252,0.649,13.0,5.0,3.0,1.0
Bruiser Flint,Drexel,CAA,,13,18,0.419,,,,,2001-02,212,159,0.571,,,,,,298,231,0.563,2.0,,,
Tim Floyd *,UTEP,CUSA,,18,14,0.562,,,,,2010-11,58,41,0.586,,,,,,385,222,0.634,8.0,2.0,,
Geno Ford,Bradley,MVC,,18,17,0.514,,,,,2011-12,25,42,0.373,,,,,,93,79,0.541,,,,
Travis Ford,Oklahoma State,Big 12,,24,9,0.727,,17.0,Lost Second Round,,2008-09,104,64,0.619,3.0,,,,,227,179,0.559,4.0,,,
Lennox Forrester,SIU Edwardsville,OVC,,9,18,0.333,,,,,2008-09,42,99,0.298,,,,,,42,99,0.298,,,,
Mark Fox,Georgia,SEC,,15,17,0.469,,,,,2009-10,65,63,0.508,1.0,,,,,188,106,0.639,4.0,,,
John Gallagher,Hartford,AEC,,17,14,0.548,,,,,2010-11,37,56,0.398,,,,,,37,56,0.398,,,,
Murray Garvin,South Carolina State,MEAC,,2,7,0.222,,,,,2012-13,2,7,0.222,,,,,,2,7,0.222,,,,
Tyler Geving,Portland State,Big Sky,,8,20,0.286,,,,,2009-10,52,70,0.426,,,,,,52,70,0.426,,,,
John Giannini,La Salle,A-10,,24,10,0.706,,,Lost Regional Semifinal,,2004-05,143,138,0.509,1.0,1.0,,,,268,249,0.518,1.0,1.0,,
Mike Gillian,Longwood,Big South,,8,25,0.242,,,,,2004-05,88,192,0.314,,,,,,88,192,0.314,,,,
Max Good,Loyola Marymount,WCC,,11,23,0.324,,,,,2008-09,64,98,0.395,,,,,,173,236,0.423,,,,
Mark Gottfried,NC State,ACC,,24,11,0.686,6.0,,Lost Second Round,,2011-12,48,24,0.667,2.0,1.0,,,,326,179,0.646,9.0,2.0,,
Anthony Grant,Alabama,SEC,,23,13,0.639,,,,,2009-10,86,52,0.623,1.0,,,,,162,77,0.678,3.0,,,
James Green,Jacksonville State,OVC,,17,11,0.607,,,,,2008-09,59,90,0.396,,,,,,226,252,0.473,1.0,,,
Brian Gregory,Georgia Tech,ACC,,16,15,0.516,,,,,2011-12,27,35,0.435,,,,,,199,129,0.607,2.0,,,
Bill Grier,San Diego,WCC,,16,18,0.471,,,,,2007-08,84,111,0.431,1.0,,,,,84,111,0.431,1.0,,,
John Groce,Illinois,Big Ten,,23,13,0.639,,,Lost Third Round,,2012-13,23,13,0.639,1.0,,,,,108,69,0.61,3.0,1.0,,
Jerod Haase,UAB,CUSA,,16,17,0.485,,,,,2012-13,16,17,0.485,,,,,,16,17,0.485,,,,
Frank Haith,Missouri,SEC,,23,11,0.676,15.0,,Lost Second Round,,2011-12,53,16,0.768,2.0,,,,,182,117,0.609,3.0,,,
Leonard Hamilton *,Florida State,ACC,,18,16,0.529,25.0,,,,2002-03,219,143,0.605,4.0,1.0,,,,419,353,0.543,7.0,2.0,,
Derrin Hansen,Omaha,Summit,,11,20,0.355,,,,,2012-13,11,20,0.355,,,,,,11,20,0.355,,,,
Ray Harper,Western Kentucky,Sun Belt,,20,16,0.556,,,Lost Second Round,,2011-12,31,24,0.564,2.0,,,,,31,24,0.564,2.0,,,
Steve Hawkins,Western Michigan,MAC,,22,13,0.629,,,,,2003-04,181,145,0.555,1.0,,,,,181,145,0.555,1.0,,,
Willie Hayes,Alabama A&M,SWAC,,11,20,0.355,,,,,2011-12,18,41,0.305,,,,,,18,41,0.305,,,,
Jim Hayford,Eastern Washington,Big Sky,,10,21,0.323,,,,,2011-12,25,38,0.397,,,,,,25,38,0.397,,,,
Stan Heath,South Florida,Big East,,12,19,0.387,,,,,2007-08,85,110,0.436,1.0,,,,,197,187,0.513,4.0,1.0,,
Mitch Henderson,Princeton,Ivy,,17,11,0.607,,,,,2011-12,37,23,0.617,,,,,,37,23,0.617,,,,
Bill Herrion,New Hampshire,AEC,,9,20,0.31,,,,,2005-06,92,144,0.39,,,,,,329,313,0.512,3.0,,,
Tom Herrion,Marshall,CUSA,,13,19,0.406,,,,,2010-11,56,45,0.554,,,,,,136,83,0.621,,,,
Paul Hewitt,George Mason,CAA,,22,16,0.579,,,,,2011-12,46,25,0.648,,,,,,302,214,0.585,6.0,1.0,1.0,
B.J. Hill *,Northern Colorado,Big Sky,,13,18,0.419,,,,,2010-11,43,48,0.473,1.0,,,,,43,48,0.473,1.0,,,
Barry Hinson,Southern Illinois,MVC,,14,17,0.452,,,,,2012-13,14,17,0.452,,,,,,219,157,0.582,,,,
Bob Hoffman,Mercer,A-Sun,,24,12,0.667,,,,,2008-09,99,73,0.576,,,,,,167,150,0.527,,,,
Fred Hoiberg,Iowa State,Big 12,,23,12,0.657,,,Lost Third Round,,2010-11,62,39,0.614,2.0,,,,,62,39,0.614,2.0,,,
Chris Holtmann,Gardner-Webb,Big South,,21,13,0.618,,,,,2010-11,44,54,0.449,,,,,,44,54,0.449,,,,
Jason Hooten,Sam Houston,Southland,,17,17,0.5,,,,,2010-11,48,49,0.495,,,,,,48,49,0.495,,,,
Todd Howard,IUPUI,Summit,,6,26,0.188,,,,,2011-12,20,44,0.312,,,,,,20,44,0.312,,,,
Ben Howland,UCLA,Pac-12,,25,10,0.714,13.0,24.0,Lost Second Round,,2003-04,233,107,0.685,7.0,3.0,3.0,,,399,208,0.657,10.0,5.0,3.0,
Bob Huggins,West Virginia,Big 12,,13,19,0.406,,,,,2007-08,133,75,0.639,5.0,2.0,1.0,,,651,261,0.714,20.0,6.0,2.0,
Dick Hunsaker,Utah Valley,GWC,,14,18,0.438,,,,,2004-05,151,117,0.563,,,,,,266,163,0.62,2.0,1.0,,
Larry Hunter,Western Carolina,Southern,,14,19,0.424,,,,,2005-06,121,137,0.469,,,,,,325,285,0.533,1.0,,,
Ron Hunter,Georgia State,CAA,,15,16,0.484,,,,,2011-12,37,28,0.569,,,,,,258,207,0.555,1.0,,,
Dan Hurley,Rhode Island,A-10,,8,21,0.276,,,,,2012-13,8,21,0.276,,,,,,46,44,0.511,,,,
Brad Huse,Montana State,Big Sky,,13,17,0.433,,,,,2006-07,93,117,0.443,,,,,,93,117,0.443,,,,
George Ivory,Arkansas-Pine Bluff,SWAC,,16,14,0.533,,,,,2008-09,65,94,0.409,1.0,,,,,65,94,0.409,1.0,,,
Tom Izzo,Michigan State,Big Ten,,27,9,0.75,14.0,9.0,Lost Regional Semifinal,,1995-96,439,178,0.712,16.0,11.0,6.0,1.0,,439,178,0.712,16.0,11.0,6.0,1.0
Greg Jackson,Delaware State,MEAC,,15,18,0.455,,,,,2000-01,196,201,0.494,1.0,,,,,196,201,0.494,1.0,,,
Jeff Jackson,Furman,Southern,,7,24,0.226,,,,,2006-07,85,131,0.394,,,,,,106,191,0.357,,,,
Lewis Jackson,Alabama State,SWAC,,10,22,0.312,,,,,2005-06,119,133,0.472,2.0,,,,,119,133,0.472,2.0,,,
Ben Jacobson,Northern Iowa,MVC,,21,15,0.583,,,,,2006-07,150,86,0.636,2.0,1.0,,,,150,86,0.636,2.0,1.0,,
Jason James,Tennessee-Martin,OVC,,9,21,0.3,,,,,2009-10,29,94,0.236,,,,,,29,94,0.236,,,,
Mike Jarvis,Florida Atlantic,Sun Belt,,14,18,0.438,,,,,2008-09,66,90,0.423,,,,,,429,292,0.595,9.0,2.0,,
Tony Jasick,Purdue Fort Wayne,Summit,,16,17,0.485,,,,,2011-12,27,36,0.429,,,,,,27,36,0.429,,,,
Rob Jeter,Milwaukee,Horizon,,8,24,0.25,,,,,2005-06,129,127,0.504,1.0,,,,,129,127,0.504,1.0,,,
Clemon Johnson,Florida A&M,MEAC,,8,23,0.258,,,,,2011-12,18,46,0.281,,,,,,18,46,0.281,,,,
James Johnson,Virginia Tech,ACC,,13,19,0.406,,,,,2012-13,13,19,0.406,,,,,,13,19,0.406,,,,
Sydney Johnson,Fairfield,MAAC,,19,16,0.543,,,,,2011-12,41,31,0.569,,,,,,107,84,0.56,1.0,,,
Trent Johnson,TCU,Big 12,,11,21,0.344,,,,,2012-13,11,21,0.344,,,,,,237,207,0.534,5.0,2.0,,
Brian Jones,North Dakota,Big Sky,,16,17,0.485,,,,,2009-10,60,70,0.462,,,,,,60,70,0.462,,,,
Donnie Jones *,Central Florida,CUSA,,20,11,0.645,,,,,2010-11,63,34,0.649,,,,,,118,75,0.611,,,,
James Jones,Yale,Ivy,,14,17,0.452,,,,,1999-00,190,208,0.477,,,,,,190,208,0.477,,,,
Jeff Jones,American,Patriot,,10,20,0.333,,,,,2000-01,211,183,0.536,2.0,,,,,357,287,0.554,7.0,2.0,,
Joe Jones,Boston University,AEC,,17,13,0.567,,,,,2011-12,33,29,0.532,,,,,,119,137,0.465,,,,
Johnny Jones,Louisiana State,SEC,,19,12,0.613,,,,,2012-13,19,12,0.613,,,,,,224,174,0.563,2.0,,,
Mike Jones,Radford,Big South,,13,19,0.406,,,,,2011-12,19,45,0.297,,,,,,19,45,0.297,,,,
Edward Joyner Jr,Hampton,MEAC,,14,17,0.452,,,,,2009-10,64,65,0.496,1.0,,,,,64,65,0.496,1.0,,,
Greg Kampe,Oakland,Summit,,16,17,0.485,,,,,1999-00,242,204,0.543,3.0,,,,,242,204,0.543,3.0,,,
Danny Kaspar,Stephen F. Austin,Southland,,27,5,0.844,,,,,2000-01,246,141,0.636,1.0,,,,,246,141,0.636,1.0,,,
Brian Katz,Sacramento State,Big Sky,,14,15,0.483,,,,,2008-09,42,102,0.292,,,,,,42,102,0.292,,,,
Kerry Keating,Santa Clara,WCC,,26,12,0.684,,,,,2007-08,100,102,0.495,,,,,,100,102,0.495,,,,
Derek Kellogg,Massachusetts,A-10,,21,12,0.636,,,,,2008-09,85,77,0.525,,,,,,85,77,0.525,,,,
Pat Kelsey,Winthrop,Big South,,14,17,0.452,,,,,2012-13,14,17,0.452,,,,,,14,17,0.452,,,,
Andy Kennedy,Mississippi,SEC,,27,9,0.75,,,Lost Third Round,,2006-07,152,87,0.636,1.0,,,,,173,100,0.634,1.0,,,
Billy Kennedy,Texas A&M,SEC,,18,15,0.545,,,,,2011-12,32,33,0.492,,,,,,243,212,0.534,2.0,,,
Pat Knight,Lamar,Southland,,3,28,0.097,,,,,2011-12,26,40,0.394,1.0,,,,,76,101,0.429,1.0,,,
Tod Kowalczyk,Toledo,MAC,,15,13,0.536,,,,,2010-11,38,58,0.396,,,,,,174,170,0.506,,,,
Rob Krimmel,Saint Francis (PA),NEC,,5,24,0.172,,,,,2012-13,5,24,0.172,,,,,,5,24,0.172,,,,
Lon Kruger,Oklahoma,Big 12,,20,12,0.625,,,Lost Second Round,,2011-12,35,28,0.556,1.0,,,,,514,332,0.608,14.0,3.0,1.0,
Larry Krystkowiak,Utah,Pac-12,,15,18,0.455,,,,,2011-12,21,43,0.328,,,,,,63,63,0.5,2.0,,,
Mike Krzyzewski,Duke,ACC,,30,6,0.833,8.0,6.0,Lost Regional Final,,1980-81,884,238,0.788,29.0,21.0,11.0,4.0,,957,297,0.763,29.0,21.0,11.0,4.0
Robbie Laing,Campbell,Big South,,13,20,0.394,,,,,2003-04,114,185,0.381,,,,,,114,185,0.381,,,,
Matt Langel,Colgate,Patriot,,11,21,0.344,,,,,2011-12,19,43,0.306,,,,,,19,43,0.306,,,,
Greg Lansing,Indiana State,MVC,,18,15,0.545,,,,,2010-11,56,44,0.56,1.0,,,,,56,44,0.56,1.0,,,
Jim Larranaga,Miami (FL),ACC,,29,7,0.806,,5.0,Lost Regional Semifinal,,2011-12,49,20,0.71,1.0,1.0,,,,491,329,0.599,6.0,2.0,1.0,
Steve Lavin,St. John's (NY),Big East,,17,16,0.515,,,,,2010-11,51,47,0.52,1.0,,,,,196,125,0.611,7.0,5.0,,
Dale Layer,Liberty,Big South,,15,21,0.417,,,Lost First Round,,2009-10,63,68,0.481,1.0,,,,,166,174,0.488,2.0,,,
Jeff Lebo,East Carolina,CUSA,,23,12,0.657,,,,,2010-11,56,44,0.56,,,,,,267,200,0.572,,,,
Jim Les,UC Davis,Big West,,14,17,0.452,,,,,2011-12,19,43,0.306,,,,,,173,183,0.486,1.0,1.0,,
Mike Lonergan,George Washington,A-10,,13,17,0.433,,,,,2011-12,23,38,0.377,,,,,,149,106,0.584,1.0,,,
Dave Loos,Austin Peay,OVC,,8,23,0.258,,,,,1990-91,371,333,0.527,3.0,,,,,371,333,0.527,3.0,,,
Paul Lusk,Missouri State,MVC,,11,22,0.333,,,,,2011-12,27,38,0.415,,,,,,27,38,0.415,,,,
Chris Mack,Xavier,A-10,,17,14,0.548,,,,,2009-10,90,44,0.672,3.0,2.0,,,,90,44,0.672,3.0,2.0,,
Don Maestri,Troy,Sun Belt,,12,21,0.364,,,,,1993-94,291,296,0.496,1.0,,,,,291,296,0.496,1.0,,,
Alan Major,Charlotte,A-10,,21,12,0.636,,,,,2010-11,44,49,0.473,,,,,,44,49,0.473,,,,
